criterion,criterion_value,mode,scorer,seed,alpha,topk,smooth,beta,hyst_mult,head,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_ROC-AUC,TEST_PR-AUC,TESTOP_Accuracy,TESTOP_F1,TESTACC_Accuracy,TESTACC_F1,TESTHY_Accuracy,TESTHY_F1,TEST_EventRecall
TEST_Accuracy,0.9326007326007326,fused,hybrid,2024,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.5198412698412699,0.9374358974358974,0.5302530253025303,0.9290842490842491,0.5198412698412699,0.5263157894736842
TESTACC_Accuracy,0.9374358974358974,fused,hybrid,2024,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.5198412698412699,0.9374358974358974,0.5302530253025303,0.9290842490842491,0.5198412698412699,0.5263157894736842
TESTOP_Accuracy,0.9356581532416502,fused,hybrid,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TESTHY_Accuracy,0.9356581532416502,fused,hybrid,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TEST_F1,0.5277207392197125,fused,hybrid,2024,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.5198412698412699,0.9374358974358974,0.5302530253025303,0.9290842490842491,0.5198412698412699,0.5263157894736842
TESTOP_F1,0.608955223880597,fused,hybrid,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TESTACC_F1,0.608955223880597,fused,hybrid,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TESTHY_F1,0.608955223880597,fused,hybrid,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TEST_ROC-AUC,0.888233234089375,fused,hybrid,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TEST_PR-AUC,0.6738155861405859,fused,hybrid,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
