mode,seed,scorer,target_FPR,threshold,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_FPR,TEST_TN,TEST_FP,TEST_FN,TEST_TP,TEST_ROC-AUC,TEST_PR-AUC
fused,42,unsup,0.001,11.640251904044673,0.9003925417075564,0.7878787878787878,0.041401273885350316,0.07866868381240545,0.0012759752096244985,5479,7,602,26,0.732674776094796,0.5063470172406204
fused,42,unsup,0.002,9.5541172616021,0.9178933595027805,0.92,0.2197452229299363,0.35475578406169667,0.0021873860736419974,5474,12,490,138,0.732674776094796,0.5063470172406204
fused,42,unsup,0.005,8.274178068045355,0.9159306509649984,0.8166666666666667,0.2340764331210191,0.36386138613861385,0.006015311702515493,5453,33,481,147,0.732674776094796,0.5063470172406204
fused,42,unsup,0.01,7.546202091877455,0.9164213280994439,0.7349397590361446,0.2914012738853503,0.41733181299885974,0.012030623405030985,5420,66,445,183,0.732674776094796,0.5063470172406204
fused,42,unsup,0.02,6.324865192637606,0.928524697415767,0.7312348668280871,0.48089171974522293,0.5802113352545629,0.020233321181188476,5375,111,326,302,0.732674776094796,0.5063470172406204
fused,42,unsup,0.05,4.493746510111824,0.906444226365718,0.5468227424749164,0.5207006369426752,0.533442088091354,0.049398468829748444,5215,271,301,327,0.732674776094796,0.5063470172406204
fused,42,unsup,0.1,3.476972845577391,0.8578671900556101,0.37194473963868224,0.5573248407643312,0.4461440407903123,0.10772876412686837,4895,591,278,350,0.732674776094796,0.5063470172406204
fused,42,semisup,0.001,16.355216313777692,0.9013738959764475,0.8378378378378378,0.04936305732484077,0.09323308270676692,0.0010936930368209987,5480,6,597,31,0.7053910823381346,0.492357946400088
fused,42,semisup,0.002,12.50276828465772,0.9134772652927707,0.9380530973451328,0.16878980891719744,0.28609986504723345,0.0012759752096244985,5479,7,522,106,0.7053910823381346,0.492357946400088
fused,42,semisup,0.005,9.235286952547078,0.92198233562316,0.8682926829268293,0.28343949044585987,0.42737094837935174,0.004921618665694494,5459,27,450,178,0.7053910823381346,0.492357946400088
fused,42,semisup,0.01,7.020738806546813,0.9167484461890743,0.7044673539518901,0.32643312101910826,0.44613710554951036,0.015676266861100983,5400,86,423,205,0.7053910823381346,0.492357946400088
fused,42,semisup,0.02,5.558364902764191,0.92198233562316,0.6659340659340659,0.482484076433121,0.5595567867036011,0.02770689026613197,5334,152,325,303,0.7053910823381346,0.492357946400088
fused,42,semisup,0.05,3.8961767750331395,0.8814196925089958,0.43610013175230566,0.5270700636942676,0.47728911319394374,0.07801676995989791,5058,428,297,331,0.7053910823381346,0.492357946400088
fused,42,semisup,0.1,2.9652120737877765,0.810107948969578,0.28386050283860503,0.5573248407643312,0.37614185921547555,0.1609551585854903,4603,883,278,350,0.7053910823381346,0.492357946400088
fused,42,hybrid,0.001,14.875652968764145,0.9020281321557082,0.8536585365853658,0.05573248407643312,0.10463378176382661,0.0010936930368209987,5480,6,593,35,0.7090100220364053,0.5051032828111041
fused,42,hybrid,0.002,11.527243372963374,0.9162577690546287,0.9461538461538461,0.19585987261146498,0.3245382585751979,0.0012759752096244985,5479,7,505,123,0.7090100220364053,0.5051032828111041
fused,42,hybrid,0.005,8.965350086539159,0.9223094537127903,0.8695652173913043,0.28662420382165604,0.4311377245508982,0.004921618665694494,5459,27,448,180,0.7090100220364053,0.5051032828111041
fused,42,hybrid,0.01,7.02899789768454,0.9213280994438993,0.779467680608365,0.32643312101910826,0.4601571268237935,0.010572366022602987,5428,58,423,205,0.7090100220364053,0.5051032828111041
fused,42,hybrid,0.02,5.461738756568655,0.9223094537127903,0.6638115631691649,0.49363057324840764,0.5662100456621004,0.028618301130149466,5329,157,318,310,0.7090100220364053,0.5051032828111041
fused,42,hybrid,0.05,3.9077535022740695,0.889924762839385,0.4681753889674682,0.5270700636942676,0.4958801498127341,0.06853809697411592,5110,376,297,331,0.7090100220364053,0.5051032828111041
fused,42,hybrid,0.1,2.9633810807106795,0.8168138698070003,0.29534109816971715,0.5652866242038217,0.3879781420765027,0.15439300036456433,4639,847,273,355,0.7090100220364053,0.5051032828111041
fused,7,unsup,0.001,14.505853548614597,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.888233234089375,0.6738155861405859
fused,7,unsup,0.002,14.051295870935634,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.888233234089375,0.6738155861405859
fused,7,unsup,0.005,14.036220835889383,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.888233234089375,0.6738155861405859
fused,7,unsup,0.01,10.254848179074203,0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.0,5476,0,563,69,0.888233234089375,0.6738155861405859
fused,7,unsup,0.02,6.408368572254859,0.9276358873608382,0.9398148148148148,0.3212025316455696,0.47877358490566035,0.00237399561723886,5463,13,429,203,0.888233234089375,0.6738155861405859
fused,7,unsup,0.05,4.363011597859669,0.9402423051735429,0.801354401805869,0.5617088607594937,0.6604651162790698,0.016070124178232285,5388,88,277,355,0.888233234089375,0.6738155861405859
fused,7,unsup,0.1,2.796182246519948,0.912573673870334,0.5720588235294117,0.615506329113924,0.5929878048780488,0.053140978816654486,5185,291,243,389,0.888233234089375,0.6738155861405859
fused,7,semisup,0.001,30.894986402596725,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.8289263968895341,0.628055121688017
fused,7,semisup,0.002,29.422258236929068,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.8289263968895341,0.628055121688017
fused,7,semisup,0.005,28.26795946008605,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.8289263968895341,0.628055121688017
fused,7,semisup,0.01,16.57888282287286,0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.0010956902848794738,5470,6,547,85,0.8289263968895341,0.628055121688017
fused,7,semisup,0.02,11.952468393575147,0.9235428945645056,0.9459459459459459,0.27689873417721517,0.4283965728274174,0.001826150474799123,5466,10,457,175,0.8289263968895341,0.628055121688017
fused,7,semisup,0.05,5.328873330894385,0.9335297969875573,0.8284883720930233,0.4509493670886076,0.5840163934426229,0.010774287801314826,5417,59,347,285,0.8289263968895341,0.628055121688017
fused,7,semisup,0.1,2.511086913397299,0.9145383104125737,0.5854037267080745,0.5965189873417721,0.5909090909090909,0.04875821767713659,5209,267,255,377,0.8289263968895341,0.628055121688017
fused,7,hybrid,0.001,14.505853548614597,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.888233234089375,0.6738155861405859
fused,7,hybrid,0.002,14.051295870935634,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.888233234089375,0.6738155861405859
fused,7,hybrid,0.005,14.036220835889383,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.888233234089375,0.6738155861405859
