,,,TEST_Accuracy,TEST_Accuracy,TEST_Accuracy,TEST_Precision,TEST_Precision,TEST_Precision,TEST_Recall,TEST_Recall,TEST_Recall,TEST_F1,TEST_F1,TEST_F1,TEST_FPR,TEST_FPR,TEST_FPR,TEST_TN,TEST_TN,TEST_TN,TEST_FP,TEST_FP,TEST_FP,TEST_FN,TEST_FN,TEST_FN,TEST_TP,TEST_TP,TEST_TP,TEST_ROC-AUC,TEST_ROC-AUC,TEST_ROC-AUC,TEST_PR-AUC,TEST_PR-AUC,TEST_PR-AUC
,,,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max
mode,scorer,target_FPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fused,hybrid,0.001,0.9134,0.0163,0.9318,0.5241,0.4796,0.9261,0.1283,0.1538,0.327,0.196,0.2259,0.4709,0.0019,0.0026,0.0063,5889.6,376.5824,6187,11.6,16.2265,39,550.0,97.9719,634,80.8,96.9366,206,0.7825,0.0701,0.8882,0.5225,0.0943,0.6738
fused,hybrid,0.002,0.9166,0.0157,0.9364,0.5059,0.4697,0.9462,0.1823,0.1792,0.3635,0.2618,0.249,0.5135,0.0043,0.0063,0.0148,5875.0,365.4265,6187,26.2,38.6872,91,516.0,114.4443,634,114.8,112.8703,229,0.7825,0.0701,0.8882,0.5225,0.0943,0.6738
fused,hybrid,0.005,0.9141,0.0158,0.9371,0.4407,0.4269,0.8696,0.2142,0.2003,0.4,0.2813,0.2605,0.5402,0.0104,0.0163,0.0389,5837.6,352.554,6187,63.6,100.8776,240,496.0,127.8984,634,134.8,126.1079,252,0.7825,0.0701,0.8882,0.5225,0.0943,0.6738
fused,hybrid,0.01,0.9146,0.0129,0.9326,0.7716,0.2031,1.0,0.2715,0.1732,0.446,0.3521,0.1784,0.5277,0.0161,0.0225,0.0549,5803.4,347.8158,6181,97.8,139.0942,338,459.8,110.7122,591,171.0,108.9036,281,0.7825,0.0701,0.8882,0.5225,0.0943,0.6738
fused,hybrid,0.02,0.914,0.0167,0.9276,0.691,0.2044,0.9398,0.3686,0.1856,0.5333,0.4277,0.172,0.5662,0.0277,0.0312,0.0782,5734.8,361.1145,6178,166.4,192.3663,482,398.6,118.6752,590,232.2,116.5985,336,0.7825,0.0701,0.8882,0.5225,0.0943,0.6738
fused,hybrid,0.05,0.8979,0.0336,0.9402,0.5514,0.198,0.8014,0.4491,0.2016,0.573,0.441,0.1799,0.6605,0.0543,0.0475,0.1235,5577.4,415.2364,6163,323.8,292.1835,761,347.8,128.5893,575,283.0,126.9094,361,0.7825,0.0701,0.8882,0.5225,0.0943,0.6738
fused,hybrid,0.1,0.8606,0.0494,0.9126,0.4319,0.1909,0.6977,0.4922,0.2283,0.6619,0.3869,0.1509,0.593,0.1003,0.0706,0.1728,5310.6,561.5504,6161,590.6,423.4162,1065,320.6,145.3455,574,310.2,143.714,417,0.7825,0.0701,0.8882,0.5225,0.0943,0.6738
fused,semisup,0.001,0.9091,0.0147,0.9344,0.3481,0.4772,0.9027,0.0746,0.1409,0.3238,0.114,0.2067,0.4766,0.0011,0.0015,0.0036,5894.4,380.2806,6187,6.8,9.0111,22,583.8,89.5165,634,47.0,88.7863,204,0.6238,0.1637,0.8289,0.3518,0.2439,0.6281
